Food Name (CANSIM Adjusted for waste),Food Group,Serving size (CFG),Reference value (g) (CNF),Waste Factor,Ag Commodity Conversion Factor,Months SWBC Avail' 
Pumpkins and squash fresh,Fruit & Vegetables,125mL,59.7,1.61,1,9
Pumpkins and squash frozen,Fruit & Vegetables,,,,,
Radishes fresh,Fruit & Vegetables,125mL,61.3,1.42,1,7
Radishes canned,Fruit & Vegetables,,,,,
Rutabagas and turnips fresh,Fruit & Vegetables,125mL,68.7,1.65,1,11
Rutabagas and turnips fresh,Fruit & Vegetables,,,,,
Spinach fresh,Fruit & Vegetables,250mL,31.7,1.6,1,7
Spinach frozen,Fruit & Vegetables,125mL,82.4,1.29,1.46,12
Tomatoes fresh,Fruit & Vegetables,125mL,95.125,1.41,1,9
Tomatoes canned,Fruit & Vegetables,125mL,126.8,1.16,1.7,0
"Tomato juice (litres per person, per year)",Fruit & Vegetables,125mL,128.4,1.16,1,0
"Tomatoes, pulp, paste and puree",Fruit & Vegetables,125mL,132.1,1.16,5.39,0
Honey,Other,,,1.31,1,12
Sugar refined,Other,,,1.31,1,0
Maple sugar,Other,,,1.31,1,12
Butter,Fats & Oils,15mL,14.4,1.22,7.4984,12
Margarine,Fats & Oils,15mL,14.4,1.22,2.27,12
Shortening and shortening oils,Fats & Oils,15mL,13,1.36,2.27,12
Salad oils (17),Fats & Oils,15mL,14.2,1.41,2.27,12
