Ref_Date,GEO,COM,PRO,UNI,Value
2011,British Columbia,"Fresh herbs, greenhouse",Area harvested,Square metres,..
2012,British Columbia,"Fresh herbs, greenhouse",Area harvested,Square metres,..
2013,British Columbia,"Fresh herbs, greenhouse",Area harvested,Square metres,..
2002,British Columbia,"Fresh herbs, greenhouse",Production,Kilograms,
2003,British Columbia,"Fresh herbs, greenhouse",Production,Kilograms,
2004,British Columbia,"Fresh herbs, greenhouse",Production,Kilograms,
2005,British Columbia,"Fresh herbs, greenhouse",Production,Kilograms,
2006,British Columbia,"Fresh herbs, greenhouse",Production,Kilograms,
2007,British Columbia,"Fresh herbs, greenhouse",Production,Kilograms,
2008,British Columbia,"Fresh herbs, greenhouse",Production,Kilograms,
2009,British Columbia,"Fresh herbs, greenhouse",Production,Kilograms,
2010,British Columbia,"Fresh herbs, greenhouse",Production,Kilograms,
2011,British Columbia,"Fresh herbs, greenhouse",Production,Kilograms,..
2012,British Columbia,"Fresh herbs, greenhouse",Production,Kilograms,..
2013,British Columbia,"Fresh herbs, greenhouse",Production,Kilograms,..
2002,British Columbia,"Fresh green beans, greenhouse",Area harvested,Square metres,
2003,British Columbia,"Fresh green beans, greenhouse",Area harvested,Square metres,
2004,British Columbia,"Fresh green beans, greenhouse",Area harvested,Square metres,
2005,British Columbia,"Fresh green beans, greenhouse",Area harvested,Square metres,
2006,British Columbia,"Fresh green beans, greenhouse",Area harvested,Square metres,
2007,British Columbia,"Fresh green beans, greenhouse",Area harvested,Square metres,
2008,British Columbia,"Fresh green beans, greenhouse",Area harvested,Square metres,
2009,British Columbia,"Fresh green beans, greenhouse",Area harvested,Square metres,
2010,British Columbia,"Fresh green beans, greenhouse",Area harvested,Square metres,
2011,British Columbia,"Fresh green beans, greenhouse",Area harvested,Square metres,..
2012,British Columbia,"Fresh green beans, greenhouse",Area harvested,Square metres,..
2013,British Columbia,"Fresh green beans, greenhouse",Area harvested,Square metres,..
2002,British Columbia,"Fresh green beans, greenhouse",Production,Kilograms,
2003,British Columbia,"Fresh green beans, greenhouse",Production,Kilograms,
2004,British Columbia,"Fresh green beans, greenhouse",Production,Kilograms,
2005,British Columbia,"Fresh green beans, greenhouse",Production,Kilograms,
2006,British Columbia,"Fresh green beans, greenhouse",Production,Kilograms,
2007,British Columbia,"Fresh green beans, greenhouse",Production,Kilograms,
2008,British Columbia,"Fresh green beans, greenhouse",Production,Kilograms,
2009,British Columbia,"Fresh green beans, greenhouse",Production,Kilograms,
2010,British Columbia,"Fresh green beans, greenhouse",Production,Kilograms,
2011,British Columbia,"Fresh green beans, greenhouse",Production,Kilograms,..
2012,British Columbia,"Fresh green beans, greenhouse",Production,Kilograms,..
2013,British Columbia,"Fresh green beans, greenhouse",Production,Kilograms,..
2002,British Columbia,"Other fresh fruits or vegetables, greenhouse",Area harvested,Square metres,
2003,British Columbia,"Other fresh fruits or vegetables, greenhouse",Area harvested,Square metres,
2004,British Columbia,"Other fresh fruits or vegetables, greenhouse",Area harvested,Square metres,
2005,British Columbia,"Other fresh fruits or vegetables, greenhouse",Area harvested,Square metres,
2006,British Columbia,"Other fresh fruits or vegetables, greenhouse",Area harvested,Square metres,..
2007,British Columbia,"Other fresh fruits or vegetables, greenhouse",Area harvested,Square metres,..
2008,British Columbia,"Other fresh fruits or vegetables, greenhouse",Area harvested,Square metres,..
2009,British Columbia,"Other fresh fruits or vegetables, greenhouse",Area harvested,Square metres,..
2010,British Columbia,"Other fresh fruits or vegetables, greenhouse",Area harvested,Square metres,..
2011,British Columbia,"Other fresh fruits or vegetables, greenhouse",Area harvested,Square metres,..
2012,British Columbia,"Other fresh fruits or vegetables, greenhouse",Area harvested,Square metres,..
2013,British Columbia,"Other fresh fruits or vegetables, greenhouse",Area harvested,Square metres,..
