,commodity,group,SWBC Food Need Balanced (t),diet and seasonality constraint (balanced),SWBC Food Need Unbalanced (t),diet and seasonality constraint (unbalanced)
96,Shortening and shortening oils,Fats & Oils,39862.702892544,39862.702892544,39862.702892544,39862.702892544
97,"Skim milk (litres per person, per year)",Milk & Alts,40112.54721206967,40112.54721206967,19117.681986923522,19117.681986923522
98,Spinach fresh,Fruit & Vegetables,2982.6861027234363,1739.9002265886713,1625.393152,948.1460053333334
99,Spinach frozen,Fruit & Vegetables,1755.4971893341624,1755.4971893341624,956.6454570239999,956.6454570239999
100,"Standard milk 3.25% (litres per person, per year)",Milk & Alts,61376.361166703144,61376.361166703144,29252.0379744553,29252.0379744553
101,Strawberries canned,Fruit & Vegetables,298.75918364450206,298.75918364450206,162.80664960000001,162.80664960000001
102,Strawberries fresh,Fruit & Vegetables,17127.878715540468,5709.292905180156,9333.713241599997,3111.237747199999
103,Strawberries frozen,Fruit & Vegetables,3089.454491440004,3089.454491440004,1683.575810816,1683.575810816
104,"Tomato juice (litres per person, per year)",Fruit & Vegetables,4609.427404800889,0.0,2511.8740224,0.0
105,Tomatoes canned,Fruit & Vegetables,29796.24924881167,0.0,16237.24985344,0.0
106,Tomatoes fresh,Fruit & Vegetables,38943.18600205502,29207.389501541267,21221.806675199998,15916.3550064
107,"Tomatoes, pulp, paste and puree",Fruit & Vegetables,73614.2628500053,0.0,40115.55846143999,0.0
108,"Turkey, boneless weight",Meat & Alts,14522.348481853021,14522.348481853023,9627.278492928,9627.278492928
109,Variety cheese,Milk & Alts,176118.03538632634,176118.03538632634,83938.04000720318,83938.04000720318
110,Wheat flour,Grains,199130.9785344,199130.9785344,199130.9785344,199130.9785344
