,commodity,kg/person,servings/person,name,group,serving,reference,waste,conversion,season,t/person,SWBC Food Need,diet and seasonality constraint
63,Onions and shallots fresh,4.64,54.9112426035503,Onions and shallots fresh,Fruit & Vegetables,125mL,84.5,1.57,1.0,12.0,0.00464,19474.7763712,19474.7763712
64,"Orange juice (litres per person, per year)",9.28,70.83969465648855,"Orange juice (litres per person, per year)",Fruit & Vegetables,125mL,131.0,1.16,1.84,0.0,0.00928,52951.544823808006,0.0
65,Papayas fresh,0.19,1.2459016393442623,Papayas fresh,Fruit & Vegetables,1/2 fruit,152.5,1.65,1.0,0.0,0.00019,838.0933439999999,0.0
66,"Partly skimmed milk 1% (litres per person, per year)",12.3,47.674418604651166,"Partly skimmed milk 1% (litres per person, per year)",Milk & Alts,250mL,258.0,1.32,1.03103,12.0,0.0123,44751.25212509951,44751.25212509951
67,"Partly skimmed milk 2% (litres per person, per year)",25.23,97.79069767441861,"Partly skimmed milk 2% (litres per person, per year)",Milk & Alts,250mL,258.0,1.32,1.03103,12.0,0.025230000000000002,91794.64155416755,91794.64155416755
68,Peaches canned,0.76,5.896043444530644,Peaches canned,Fruit & Vegetables,125mL,128.9,1.16,1.02,12.0,0.00076,2403.956471808,2403.956471808
69,Peaches fresh,0.54,5.510204081632653,Peaches fresh,Fruit & Vegetables,1 medium,98.0,1.71,1.0,1.0,0.00054,2468.5658496,205.7138208
70,Peanuts,2.39,64.5945945945946,Peanuts,Meat & Alts,60mL,37.0,1.16,1.0,0.0,0.00239,7411.578905599999,0.0
71,Pears canned,0.26,2.029664324746292,Pears canned,Fruit & Vegetables,125mL,128.1,1.16,1.13,12.0,0.00026000000000000003,911.097021952,911.097021952
72,Pears fresh,1.37,8.25301204819277,Pears fresh,Fruit & Vegetables,1 medium,166.0,1.4,1.0,5.0,0.0013700000000000001,5127.473792,2136.4474133333333
