,commodity,kg/person,servings/person,name,group,serving,reference,waste,conversion,season,percent of group,balanced rec(kg),balanced rec(t),incwaste,Food Need (tonnes)/person,SWBC Food Need,diet and seasonality constraint
78,Pineapples canned,0.58,5.631067961,Pineapples canned,Fruit & Vegetables,125mL,103,1.16,1.72,0,0.004762296,1.064331997,0.001064332,0.001234625,0.002123555,5676.993554,0
79,Pineapples fresh,1.09,13.30891331,Pineapples fresh,Fruit & Vegetables,125mL,81.9,1.8,1,0,0.008949832,2.000210133,0.00200021,0.003600378,0.003600378,9625.049562,0
80,Plums total fresh,0.55,8.333333333,Plums total fresh,Fruit & Vegetables,1 fruit,66,1.38,1,2,0.00451597,1.009280342,0.00100928,0.001392807,0.001392807,3723.451895,620.5753158
81,"Pork, boneless weight",8.83,98.11111111,"Pork, boneless weight",Meat & Alts,75 g cooked,90,1.46,1.37,12,0.188514091,13.31968709,0.013319687,0.019446743,0.026642038,71223.33277,71223.33277
82,Pot and pearl barley,0.26,13,Pot and pearl barley,Grains,125mL (cooked),20,1.52,1.6,12,0.004986575,0.26,0.00026,0.0003952,0.00063232,1690.408878,1690.408878
83,Potatoes frozen,6.07,63.0977131,Potatoes frozen,Fruit & Vegetables,125mL,96.2,1.71,1.7,12,0.049839888,11.13878487,0.011138785,0.019047322,0.032380448,86564.07533,86564.07533
84,Potatoes sweet fresh,0.67,9.530583215,Potatoes sweet fresh,Fruit & Vegetables,125mL,70.3,1.68,1,0,0.005501273,1.229486962,0.001229487,0.002065538,0.002065538,5521.893877,0
85,"Potatoes white fresh (7,8,9)",11.81,149.1161616,"Potatoes white fresh (7,8,9)",Fruit & Vegetables,125mL,79.2,1.71,1,12,0.096970195,21.67200153,0.021672002,0.037059123,0.037059123,99071.78308,99071.78308
86,Powder buttermilk,0.05,2,Powder buttermilk,Milk & Alts,75mL,25,1.32,9.373,12,0.000793273,0.104909547,0.00010491,0.000138481,0.001297979,3469.94353,3469.94353
87,Powder skim milk,0.66,26.4,Powder skim milk,Milk & Alts,75mL,25,1.32,8.99808,12,0.010471204,1.384806023,0.001384806,0.001827944,0.016447986,43971.12442,43971.12442
88,Processed cheese,1.64,32.8,Processed cheese,Milk & Alts,50g,50,1.19,5.71753,12,0.026019356,3.441033148,0.003441033,0.004094829,0.02341231,62589.15901,62589.15901
89,Pumpkins and squash fresh,1.7,28.47571189,Pumpkins and squash fresh,Fruit & Vegetables,125mL,59.7,1.61,1,9,0.013958453,3.119593785,0.003119594,0.005022546,0.005022546,13426.9932,10070.2449
90,Radishes fresh,0.4,6.525285481,Radishes fresh,Fruit & Vegetables,125mL,61.3,1.42,1,7,0.003284342,0.734022067,0.000734022,0.001042311,0.001042311,2786.456754,1625.433106
91,Raspberries frozen,0.3,2.271006813,Raspberries frozen,Fruit & Vegetables,125mL,132.1,1.16,1.03,12,0.002463256,0.55051655,0.000550517,0.000638599,0.000657757,1758.411195,1758.411195
92,Rice,4.8,137.1428571,Rice,Grains,125mL (cooked),35,1.32,1,0,0.092059839,4.8,0.0048,0.006336,0.006336,16938.30758,0
93,Rutabagas and turnips fresh,0.66,9.6069869,Rutabagas and turnips fresh,Fruit & Vegetables,125mL,68.7,1.65,1,11,0.005419164,1.211136411,0.001211136,0.001998375,0.001998375,5342.344023,4897.148688
94,Rye flour,0.17,8.5,Rye flour,Grains,,20,1.32,1.35,0,0.003260453,0.17,0.00017,0.0002244,0.00030294,809.8628314,0
95,Salad oils (17),8.45,595.0704225,Salad oils (17),Fats & Oils,15mL,14.2,1.41,2.27,12,0.461244541,8.45,0.00845,0.0119145,0.027045915,72303.03459,72303.03459
96,Shortening and shortening oils,4.83,371.5384615,Shortening and shortening oils,Fats & Oils,15mL,13,1.36,2.27,12,0.263646288,4.83,0.00483,0.0065688,0.014911176,39862.70289,39862.70289
97,"Skim milk (litres per person, per year)",5.78,22.31660232,"Skim milk (litres per person, per year)",Milk & Alts,250mL,259,1.32,0.9373,12,0.091702364,12.12754366,0.012127544,0.016008358,0.015004634,40112.54721,40112.54721
98,Spinach fresh,0.38,11.9873817,Spinach fresh,Fruit & Vegetables,250mL,31.7,1.6,1,7,0.003120125,0.697320964,0.000697321,0.001115714,0.001115714,2982.686103,1739.900227
99,Spinach frozen,0.19,2.305825243,Spinach frozen,Fruit & Vegetables,125mL,82.4,1.29,1.46,12,0.001560062,0.348660482,0.00034866,0.000449772,0.000656667,1755.497189,1755.497189
100,"Standard milk 3.25% (litres per person, per year)",7.37,28.56589147,"Standard milk 3.25% (litres per person, per year)",Milk & Alts,250mL,258,1.32,1.12476,12,0.116928447,15.46366726,0.015463667,0.020412041,0.022958647,61376.36117,61376.36117
101,Strawberries canned,0.07,0.521609538,Strawberries canned,Fruit & Vegetables,125mL,134.2,1.16,0.75,12,0.00057476,0.128453862,0.000128454,0.000149006,0.000111755,298.7591836,298.7591836
102,Strawberries fresh,2.53,28.84834664,Strawberries fresh,Fruit & Vegetables,125mL,87.7,1.38,1,4,0.020773463,4.642689574,0.00464269,0.006406912,0.006406912,17127.87872,5709.292905
103,Strawberries frozen,0.61,5.22260274,Strawberries frozen,Fruit & Vegetables,125mL ,116.8,1.16,0.89,12,0.005008621,1.119383652,0.001119384,0.001298485,0.001155652,3089.454491,3089.454491
104,"Tomato juice (litres per person, per year)",0.81,6.308411215,"Tomato juice (litres per person, per year)",Fruit & Vegetables,125mL,128.4,1.16,1,0,0.006650792,1.486394686,0.001486395,0.001724218,0.001724218,4609.427405,0
105,Tomatoes canned,3.08,24.29022082,Tomatoes canned,Fruit & Vegetables,125mL,126.8,1.16,1.7,0,0.025289433,5.651969916,0.00565197,0.006556285,0.011145685,29796.24925,0
106,Tomatoes fresh,5.63,59.18528252,Tomatoes fresh,Fruit & Vegetables,125mL,95.125,1.41,1,9,0.046227112,10.33136059,0.010331361,0.014567218,0.014567218,38943.186,29207.3895
107,"Tomatoes, pulp, paste and puree",2.4,18.1680545,"Tomatoes, pulp, paste and puree",Fruit & Vegetables,125mL,132.1,1.16,5.39,0,0.019706051,4.404132402,0.004404132,0.005108794,0.027536397,73614.26285,0
108,"Turkey, boneless weight",2.04,22.66666667,"Turkey, boneless weight",Meat & Alts,75 g cooked,90,1.39,1.27,12,0.043552519,3.077255003,0.003077255,0.004277384,0.005432278,14522.34848,14522.34848
109,Variety cheese,5.63,112.6,Variety cheese,Milk & Alts,50g,50,1.19,4.6865,12,0.089322545,11.81281501,0.011812815,0.01405725,0.065879301,176118.0354,176118.0354
110,Wheat flour,41.8,2090,Wheat flour,Grains,,20,1.32,1.35,12,0.801687764,41.8,0.0418,0.055176,0.0744876,199130.9785,199130.9785
