Ref_Date,GEO,SEX,AGE,Value
2016,"Greater Vancouver, British Columbia",Males,81 years,4674
2016,"Greater Vancouver, British Columbia",Males,82 years,4385
2016,"Greater Vancouver, British Columbia",Males,83 years,4099
2016,"Greater Vancouver, British Columbia",Males,84 years,3742
2016,"Greater Vancouver, British Columbia",Males,85 years,3446
2016,"Greater Vancouver, British Columbia",Males,86 years,2932
2016,"Greater Vancouver, British Columbia",Males,87 years,2665
2016,"Greater Vancouver, British Columbia",Males,88 years,2188
2016,"Greater Vancouver, British Columbia",Males,89 years,1843
2016,"Greater Vancouver, British Columbia",Males,90 years and over,6070
2016,"Greater Vancouver, British Columbia",Females,0 years,11764
2016,"Greater Vancouver, British Columbia",Females,1 year,11839
2016,"Greater Vancouver, British Columbia",Females,2 years,11695
2016,"Greater Vancouver, British Columbia",Females,3 years,11928
2016,"Greater Vancouver, British Columbia",Females,4 years,11536
2016,"Greater Vancouver, British Columbia",Females,5 years,11597
2016,"Greater Vancouver, British Columbia",Females,6 years,11639
2016,"Greater Vancouver, British Columbia",Females,7 years,11946
2016,"Greater Vancouver, British Columbia",Females,8 years,12026
2016,"Greater Vancouver, British Columbia",Females,9 years,11801
2016,"Greater Vancouver, British Columbia",Females,10 years,11734
2016,"Greater Vancouver, British Columbia",Females,11 years,11730
2016,"Greater Vancouver, British Columbia",Females,12 years,11731
2016,"Greater Vancouver, British Columbia",Females,13 years,11835
2016,"Greater Vancouver, British Columbia",Females,14 years,11944
2016,"Greater Vancouver, British Columbia",Females,15 years,12752
2016,"Greater Vancouver, British Columbia",Females,16 years,13599
2016,"Greater Vancouver, British Columbia",Females,17 years,14276
2016,"Greater Vancouver, British Columbia",Females,18 years,15408
2016,"Greater Vancouver, British Columbia",Females,19 years,16826
2016,"Greater Vancouver, British Columbia",Females,20 years,18356
2016,"Greater Vancouver, British Columbia",Females,21 years,18416
2016,"Greater Vancouver, British Columbia",Females,22 years,18154
2016,"Greater Vancouver, British Columbia",Females,23 years,18393
2016,"Greater Vancouver, British Columbia",Females,24 years,18360
2016,"Greater Vancouver, British Columbia",Females,25 years,18213
2016,"Greater Vancouver, British Columbia",Females,26 years,19184
2016,"Greater Vancouver, British Columbia",Females,27 years,19161
2016,"Greater Vancouver, British Columbia",Females,28 years,18971
2016,"Greater Vancouver, British Columbia",Females,29 years,18793
2016,"Greater Vancouver, British Columbia",Females,30 years,19384
2016,"Greater Vancouver, British Columbia",Females,31 years,19870
2016,"Greater Vancouver, British Columbia",Females,32 years,19755
2016,"Greater Vancouver, British Columbia",Females,33 years,20101
2016,"Greater Vancouver, British Columbia",Females,34 years,20274
2016,"Greater Vancouver, British Columbia",Females,35 years,19827
2016,"Greater Vancouver, British Columbia",Females,36 years,19109
2016,"Greater Vancouver, British Columbia",Females,37 years,18511
2016,"Greater Vancouver, British Columbia",Females,38 years,17921
2016,"Greater Vancouver, British Columbia",Females,39 years,17639
2016,"Greater Vancouver, British Columbia",Females,40 years,18155
2016,"Greater Vancouver, British Columbia",Females,41 years,18142
2016,"Greater Vancouver, British Columbia",Females,42 years,17845
2016,"Greater Vancouver, British Columbia",Females,43 years,18112
2016,"Greater Vancouver, British Columbia",Females,44 years,18393
2016,"Greater Vancouver, British Columbia",Females,45 years,19874
2016,"Greater Vancouver, British Columbia",Females,46 years,19742
2016,"Greater Vancouver, British Columbia",Females,47 years,19847
2016,"Greater Vancouver, British Columbia",Females,48 years,19034
2016,"Greater Vancouver, British Columbia",Females,49 years,17846
2016,"Greater Vancouver, British Columbia",Females,50 years,18512
2016,"Greater Vancouver, British Columbia",Females,51 years,18981
2016,"Greater Vancouver, British Columbia",Females,52 years,19915
2016,"Greater Vancouver, British Columbia",Females,53 years,20000
2016,"Greater Vancouver, British Columbia",Females,54 years,18715
2016,"Greater Vancouver, British Columbia",Females,55 years,19016
2016,"Greater Vancouver, British Columbia",Females,56 years,18490
2016,"Greater Vancouver, British Columbia",Females,57 years,17897
2016,"Greater Vancouver, British Columbia",Females,58 years,17715
